"unit_name","municipality","province","autonomous_community","google_criteria_id","google_name","google_canonical_name","google_target_type","match_type"
"Albeta, Zaragoza","Albeta","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Albillos, Burgos","Albillos","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Albinyana, Tarragona","Albinyana","Tarragona","Cataluña","9209915","Albinyana","Albinyana,Catalonia,Spain","Municipality","name+community"
"Albiztur, Guipúzcoa","Albiztur","Guipúzcoa","País Vasco",NA,NA,NA,NA,"unmatched"
"Albocàsser, Castellón","Albocàsser","Castellón","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Alboloduy, Almería","Alboloduy","Almería","Andalucía",NA,NA,NA,NA,"unmatched"
"Albolote, Granada","Albolote","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Albondón, Granada","Albondón","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Albons, Girona","Albons","Girona","Cataluña",NA,NA,NA,NA,"unmatched"
"Alborache, Valencia","Alborache","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Alboraya, Valencia","Alboraya","Valencia","Comunidad Valenciana","9048962","Alboraya","Alboraya,Valencian Community,Spain","City","name+community"
"Alborea, Albacete","Alborea","Albacete","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Alborge, Zaragoza","Alborge","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Albornos, Ávila","Albornos","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"Albox, Almería","Albox","Almería","Andalucía",NA,NA,NA,NA,"unmatched"
"Albudeite, Murcia","Albudeite","Murcia","Región de Murcia",NA,NA,NA,NA,"unmatched"
"Albuixech, Valencia","Albuixech","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Alburquerque, Badajoz","Alburquerque","Badajoz","Extremadura","9048963","Alburquerque","Alburquerque,Extremadura,Spain","City","name+community"
"Albuñol, Granada","Albuñol","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Albuñuelas, Granada","Albuñuelas","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Albuñán, Granada","Albuñán","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Albánchez, Almería","Albánchez","Almería","Andalucía",NA,NA,NA,NA,"unmatched"
"Alcabón, Toledo","Alcabón","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Alcadozo, Albacete","Alcadozo","Albacete","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Alcaine, Teruel","Alcaine","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Alcalalí, Alicante","Alcalalí","Alicante","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Alcalà de Xivert, Castellón","Alcalà de Xivert","Castellón","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Alcalá de Ebro, Zaragoza","Alcalá de Ebro","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Alcalá de Guadaíra, Sevilla","Alcalá de Guadaíra","Sevilla","Andalucía","9048964","Alcala de Guadaira","Alcala de Guadaira,Andalusia,Spain","City","name+community"
"Alcalá de Gurrea, Huesca","Alcalá de Gurrea","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Alcalá de Henares, Madrid","Alcalá de Henares","Madrid","Comunidad de Madrid","1005487","Alcala de Henares","Alcala de Henares,Community of Madrid,Spain","City","name+community"
"Alcalá de Moncayo, Zaragoza","Alcalá de Moncayo","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Alcalá de la Selva, Teruel","Alcalá de la Selva","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Alcalá de la Vega, Cuenca","Alcalá de la Vega","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Alcalá de los Gazules, Cádiz","Alcalá de los Gazules","Cádiz","Andalucía",NA,NA,NA,NA,"unmatched"
"Alcalá del Júcar, Albacete","Alcalá del Júcar","Albacete","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Alcalá del Obispo, Huesca","Alcalá del Obispo","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Alcalá del Río, Sevilla","Alcalá del Río","Sevilla","Andalucía","9218648","Alcala del Rio","Alcala del Rio,Andalusia,Spain","Municipality","name+community"
"Alcalá del Valle, Cádiz","Alcalá del Valle","Cádiz","Andalucía",NA,NA,NA,NA,"unmatched"
"Alcalá la Real, Jaén","Alcalá la Real","Jaén","Andalucía","1005406","Alcala la Real","Alcala la Real,Andalusia,Spain","City","name+community"
"Alcampell, Huesca","Alcampell","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Alcanadre, La Rioja","Alcanadre","La Rioja","La Rioja",NA,NA,NA,NA,"unmatched"
"Alcanar, Tarragona","Alcanar","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"Alcantarilla, Murcia","Alcantarilla","Murcia","Región de Murcia","9048966","Alcantarilla","Alcantarilla,Region of Murcia,Spain","City","name+community"
