"unit_name","municipality","province","autonomous_community","google_criteria_id","google_name","google_canonical_name","google_target_type","match_type"
"Meira, Lugo","Meira","Lugo","Galicia","9208103","Meira","Meira,Galicia,Spain","Municipality","name+community"
"Meis, Pontevedra","Meis","Pontevedra","Galicia","9221454","Meis","Meis,Galicia,Spain","Municipality","name+community"
"Mejorada del Campo, Madrid","Mejorada del Campo","Madrid","Comunidad de Madrid","9214424","Mejorada del Campo","Mejorada del Campo,Community of Madrid,Spain","Municipality","name+community"
"Mejorada, Toledo","Mejorada","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Melgar de Abajo, Valladolid","Melgar de Abajo","Valladolid","Castilla y León",NA,NA,NA,NA,"unmatched"
"Melgar de Arriba, Valladolid","Melgar de Arriba","Valladolid","Castilla y León",NA,NA,NA,NA,"unmatched"
"Melgar de Fernamental, Burgos","Melgar de Fernamental","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Melgar de Tera, Zamora","Melgar de Tera","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"Melgar de Yuso, Palencia","Melgar de Yuso","Palencia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Meliana, Valencia","Meliana","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Melide, A Coruña","Melide","A Coruña","Galicia","9212054","Melide","Melide,Galicia,Spain","Municipality","name+community"
"Melilla, Melilla","Melilla","Melilla","Ceuta y Melilla",NA,NA,NA,NA,"name only (rejected)"
"Melque de Cercos, Segovia","Melque de Cercos","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Melón, Ourense","Melón","Ourense","Galicia",NA,NA,NA,NA,"unmatched"
"Membibre de la Hoz, Segovia","Membibre de la Hoz","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Membribe de la Sierra, Salamanca","Membribe de la Sierra","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Membrilla, Ciudad Real","Membrilla","Ciudad Real","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Membrillera, Guadalajara","Membrillera","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Membrío, Cáceres","Membrío","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Menasalbas, Toledo","Menasalbas","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Mendaro, Guipúzcoa","Mendaro","Guipúzcoa","País Vasco",NA,NA,NA,NA,"unmatched"
"Mendata, Vizcaya","Mendata","Vizcaya","País Vasco",NA,NA,NA,NA,"unmatched"
"Mendavia, Navarra","Mendavia","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Mendaza, Navarra","Mendaza","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Mendexa, Vizcaya","Mendexa","Vizcaya","País Vasco",NA,NA,NA,NA,"unmatched"
"Mendigorría, Navarra","Mendigorría","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Meneses de Campos, Palencia","Meneses de Campos","Palencia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Mengabril, Badajoz","Mengabril","Badajoz","Extremadura",NA,NA,NA,NA,"unmatched"
"Mengamuñoz, Ávila","Mengamuñoz","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"Mengíbar, Jaén","Mengíbar","Jaén","Andalucía","9234101","Mengibar","Mengibar,Andalusia,Spain","Municipality","name+community"
"Menàrguens, Lleida","Menàrguens","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"Mequinenza, Zaragoza","Mequinenza","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Meranges, Girona","Meranges","Girona","Cataluña",NA,NA,NA,NA,"unmatched"
"Merindad de Cuesta-Urria, Burgos","Merindad de Cuesta-Urria","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Merindad de Montija, Burgos","Merindad de Montija","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Merindad de Río Ubierna, Burgos","Merindad de Río Ubierna","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Merindad de Sotoscueva, Burgos","Merindad de Sotoscueva","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Merindad de Valdeporres, Burgos","Merindad de Valdeporres","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Merindad de Valdivielso, Burgos","Merindad de Valdivielso","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Meruelo, Cantabria","Meruelo","Cantabria","Cantabria",NA,NA,NA,NA,"unmatched"
"Mesas de Ibor, Cáceres","Mesas de Ibor","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Mesegar de Corneja, Ávila","Mesegar de Corneja","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"Mesegar de Tajo, Toledo","Mesegar de Tajo","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Mesones de Isuela, Zaragoza","Mesones de Isuela","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Mestanza, Ciudad Real","Mestanza","Ciudad Real","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Mesía, A Coruña","Mesía","A Coruña","Galicia",NA,NA,NA,NA,"unmatched"
"Metauten, Navarra","Metauten","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Mezalocha, Zaragoza","Mezalocha","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Mezquita de Jarque, Teruel","Mezquita de Jarque","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Meñaka, Vizcaya","Meñaka","Vizcaya","País Vasco",NA,NA,NA,NA,"unmatched"
"Miajadas, Cáceres","Miajadas","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Mianos, Zaragoza","Mianos","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Micereces de Tera, Zamora","Micereces de Tera","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"Micieces de Ojeda, Palencia","Micieces de Ojeda","Palencia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Miedes de Aragón, Zaragoza","Miedes de Aragón","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Miedes de Atienza, Guadalajara","Miedes de Atienza","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Miengo, Cantabria","Miengo","Cantabria","Cantabria",NA,NA,NA,NA,"unmatched"
"Miera, Cantabria","Miera","Cantabria","Cantabria",NA,NA,NA,NA,"unmatched"
"Mieres, Asturias","Mieres","Asturias","Principado de Asturias","9222880","Mieres","Mieres,Asturias,Spain","Municipality","name+community"
"Mieres, Girona","Mieres","Girona","Cataluña",NA,NA,NA,NA,"name only (rejected)"
"Mieza, Salamanca","Mieza","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Miguel Esteban, Toledo","Miguel Esteban","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Miguelturra, Ciudad Real","Miguelturra","Ciudad Real","Castilla-La Mancha","9049133","Miguelturra","Miguelturra,Castile-La Mancha,Spain","City","name+community"
"Migueláñez, Segovia","Migueláñez","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Mijares, Ávila","Mijares","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"Mijas, Málaga","Mijas","Málaga","Andalucía",NA,NA,NA,NA,"unmatched"
"Milagro, Navarra","Milagro","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Milagros, Burgos","Milagros","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Millana, Guadalajara","Millana","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Millanes, Cáceres","Millanes","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Millares, Valencia","Millares","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Millena, Alicante","Millena","Alicante","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Milles de la Polvorosa, Zamora","Milles de la Polvorosa","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"Milmarcos, Guadalajara","Milmarcos","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Minas de Riotinto, Huelva","Minas de Riotinto","Huelva","Andalucía",NA,NA,NA,NA,"unmatched"
"Minaya, Albacete","Minaya","Albacete","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Minglanilla, Cuenca","Minglanilla","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Mingorría, Ávila","Mingorría","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"Mira, Cuenca","Mira","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Mirabel, Cáceres","Mirabel","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Mirabueno, Guadalajara","Mirabueno","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Miraflores de la Sierra, Madrid","Miraflores de la Sierra","Madrid","Comunidad de Madrid","9262649","Miraflores de la Sierra","Miraflores de la Sierra,Community of Madrid,Spain","City","name+community"
"Mirafuentes, Navarra","Mirafuentes","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Miralcamp, Lleida","Miralcamp","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"Miralrío, Guadalajara","Miralrío","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Miramar, Valencia","Miramar","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Mirambel, Teruel","Mirambel","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Miranda de Arga, Navarra","Miranda de Arga","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Miranda de Azán, Salamanca","Miranda de Azán","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Miranda de Ebro, Burgos","Miranda de Ebro","Burgos","Castilla y León","9207444","Miranda de Ebro","Miranda de Ebro,Castile and Leon,Spain","Municipality","name+community"
"Miranda de Ebro, La Rioja","Miranda de Ebro","La Rioja","La Rioja",NA,NA,NA,NA,"name only (rejected)"
"Miranda del Castañar, Salamanca","Miranda del Castañar","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Mirandilla, Badajoz","Mirandilla","Badajoz","Extremadura",NA,NA,NA,NA,"unmatched"
"Miraveche, Burgos","Miraveche","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Miravet, Tarragona","Miravet","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"Miravete de la Sierra, Teruel","Miravete de la Sierra","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Mironcillo, Ávila","Mironcillo","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"Mirueña de los Infanzones, Ávila","Mirueña de los Infanzones","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"Mislata, Valencia","Mislata","Valencia","Comunidad Valenciana","9049134","Mislata","Mislata,Valencian Community,Spain","City","name+community"
"Miño de Medinaceli, Soria","Miño de Medinaceli","Soria","Castilla y León",NA,NA,NA,NA,"unmatched"
"Miño de San Esteban, Soria","Miño de San Esteban","Soria","Castilla y León",NA,NA,NA,NA,"unmatched"
"Miño, A Coruña","Miño","A Coruña","Galicia","9211087","Mino","Mino,Galicia,Spain","Municipality","name+community"
"Moaña, Pontevedra","Moaña","Pontevedra","Galicia",NA,NA,NA,NA,"unmatched"
"Mocejón, Toledo","Mocejón","Toledo","Castilla-La Mancha","9241076","Mocejon","Mocejon,Castile-La Mancha,Spain","Municipality","name+community"
"Mochales, Guadalajara","Mochales","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Moclinejo, Málaga","Moclinejo","Málaga","Andalucía",NA,NA,NA,NA,"unmatched"
"Moclín, Granada","Moclín","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Modúbar de la Emparedada, Burgos","Modúbar de la Emparedada","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Moeche, A Coruña","Moeche","A Coruña","Galicia",NA,NA,NA,NA,"unmatched"
"Mogarraz, Salamanca","Mogarraz","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Mogente, Valencia","Mogente","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Moguer, Huelva","Moguer","Huelva","Andalucía","9235721","Moguer","Moguer,Andalusia,Spain","Municipality","name+community"
"Mogán, Las Palmas","Mogán","Las Palmas","Islas Canarias","9257482","Mogan","Mogan,Canary Islands,Spain","Municipality","name+community"
"Mohedas de Granadilla, Cáceres","Mohedas de Granadilla","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Mohedas de la Jara, Toledo","Mohedas de la Jara","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Mohernando, Guadalajara","Mohernando","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Moià, Barcelona","Moià","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"Mojados, Valladolid","Mojados","Valladolid","Castilla y León",NA,NA,NA,NA,"unmatched"
"Mojácar, Almería","Mojácar","Almería","Andalucía","9223555","Mojacar","Mojacar,Andalusia,Spain","Municipality","name+community"
"Molacillos, Zamora","Molacillos","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"Molezuelas de la Carballeda, Zamora","Molezuelas de la Carballeda","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"Molina de Aragón, Guadalajara","Molina de Aragón","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Molina de Segura, Murcia","Molina de Segura","Murcia","Región de Murcia","9049135","Molina de Segura","Molina de Segura,Region of Murcia,Spain","City","name+community"
"Molinaseca, León","Molinaseca","León","Castilla y León",NA,NA,NA,NA,"unmatched"
"Molinicos, Albacete","Molinicos","Albacete","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Molinillo, Salamanca","Molinillo","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Molinos de Duero, Soria","Molinos de Duero","Soria","Castilla y León",NA,NA,NA,NA,"unmatched"
"Molinos, Teruel","Molinos","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Molins de Rei, Barcelona","Molins de Rei","Barcelona","Cataluña","9049136","Molins de Rei","Molins de Rei,Catalonia,Spain","City","name+community"
"Molledo, Cantabria","Molledo","Cantabria","Cantabria",NA,NA,NA,NA,"unmatched"
"Mollerussa, Lleida","Mollerussa","Lleida","Cataluña","9212804","Mollerussa","Mollerussa,Catalonia,Spain","City","name+community"
"Mollet de Peralada, Girona","Mollet de Peralada","Girona","Cataluña",NA,NA,NA,NA,"unmatched"
"Mollet del Vallès, Barcelona","Mollet del Vallès","Barcelona","Cataluña","1005431","Mollet del Valles","Mollet del Valles,Catalonia,Spain","City","name+community"
"Mollina, Málaga","Mollina","Málaga","Andalucía","9049137","Mollina","Mollina,Andalusia,Spain","City","name+community"
"Molló, Girona","Molló","Girona","Cataluña",NA,NA,NA,NA,"unmatched"
"Molvízar, Granada","Molvízar","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Mombeltrán, Ávila","Mombeltrán","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"Momblona, Soria","Momblona","Soria","Castilla y León",NA,NA,NA,NA,"unmatched"
"Mombuey, Zamora","Mombuey","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monachil, Granada","Monachil","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Monasterio de Rodilla, Burgos","Monasterio de Rodilla","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monasterio de Vega, Valladolid","Monasterio de Vega","Valladolid","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monasterio de la Sierra, Burgos","Monasterio de la Sierra","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monasterio, Guadalajara","Monasterio","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Moncada, Valencia","Moncada","Valencia","Comunidad Valenciana","9049138","Moncada","Moncada,Valencian Community,Spain","City","name+community"
"Moncalvillo, Burgos","Moncalvillo","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Moncofa, Castellón","Moncofa","Castellón","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Monda, Málaga","Monda","Málaga","Andalucía",NA,NA,NA,NA,"unmatched"
"Mondariz, Pontevedra","Mondariz","Pontevedra","Galicia",NA,NA,NA,NA,"unmatched"
"Mondariz-Balneario, Pontevedra","Mondariz-Balneario","Pontevedra","Galicia",NA,NA,NA,NA,"unmatched"
"Mondoñedo, Lugo","Mondoñedo","Lugo","Galicia",NA,NA,NA,NA,"unmatched"
"Mondéjar, Guadalajara","Mondéjar","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Monegrillo, Zaragoza","Monegrillo","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Monesma y Cajigar, Huesca","Monesma y Cajigar","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Monesterio, Badajoz","Monesterio","Badajoz","Extremadura",NA,NA,NA,NA,"unmatched"
"Moneva, Zaragoza","Moneva","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Monfarracinos, Zamora","Monfarracinos","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monfero, A Coruña","Monfero","A Coruña","Galicia",NA,NA,NA,NA,"unmatched"
"Monflorite-Lascasas, Huesca","Monflorite-Lascasas","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Monforte de Lemos, Lugo","Monforte de Lemos","Lugo","Galicia","9220917","Monforte de Lemos","Monforte de Lemos,Galicia,Spain","City","name+community"
"Monforte de Moyuela, Teruel","Monforte de Moyuela","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Monforte de la Sierra, Salamanca","Monforte de la Sierra","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monforte del Cid, Alicante","Monforte del Cid","Alicante","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Monistrol de Calders, Barcelona","Monistrol de Calders","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"Monistrol de Montserrat, Barcelona","Monistrol de Montserrat","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"Monleras, Salamanca","Monleras","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monleón, Salamanca","Monleón","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monreal de Ariza, Zaragoza","Monreal de Ariza","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Monreal del Campo, Teruel","Monreal del Campo","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Monreal del Llano, Cuenca","Monreal del Llano","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Monreal, Navarra","Monreal","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Monroy, Cáceres","Monroy","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Monroyo, Teruel","Monroyo","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Monsagro, Salamanca","Monsagro","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monsalupe, Ávila","Monsalupe","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monserrat, Valencia","Monserrat","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Mont-ral, Tarragona","Mont-ral","Tarragona","Cataluña","9209080","Mont-ral","Mont-ral,Catalonia,Spain","Municipality","name+community"
"Mont-ras, Girona","Mont-ras","Girona","Cataluña","9231022","Mont-ras","Mont-ras,Catalonia,Spain","Municipality","name+community"
"Mont-roig del Camp, Tarragona","Mont-roig del Camp","Tarragona","Cataluña",NA,NA,NA,NA,"unmatched"
"Montagut i Oix, Girona","Montagut i Oix","Girona","Cataluña",NA,NA,NA,NA,"unmatched"
"Montalbanejo, Cuenca","Montalbanejo","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Montalbo, Cuenca","Montalbo","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Montalbán de Córdoba, Córdoba","Montalbán de Córdoba","Córdoba","Andalucía",NA,NA,NA,NA,"unmatched"
"Montalbán, Teruel","Montalbán","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Montalvos, Albacete","Montalvos","Albacete","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Montamarta, Zamora","Montamarta","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"Montanejos, Castellón","Montanejos","Castellón","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Montanuy, Huesca","Montanuy","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Montarrón, Guadalajara","Montarrón","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Montaverner, Valencia","Montaverner","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Montblanc, Tarragona","Montblanc","Tarragona","Cataluña","9213937","Montblanc","Montblanc,Catalonia,Spain","Municipality","name+community"
"Montbrió del Camp, Tarragona","Montbrió del Camp","Tarragona","Cataluña","9213267","Montbrio del Camp","Montbrio del Camp,Catalonia,Spain","Municipality","name+community"
"Montcada i Reixac, Barcelona","Montcada i Reixac","Barcelona","Cataluña","9222941","Municipality of Montcada i Reixac","Municipality of Montcada i Reixac,Catalonia,Spain","Municipality","name+community"
"Montclar, Barcelona","Montclar","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"Monte Común de las Amescoas, Navarra","Monte Común de las Amescoas","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Monteagudo de las Salinas, Cuenca","Monteagudo de las Salinas","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Monteagudo de las Vicarías, Soria","Monteagudo de las Vicarías","Soria","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monteagudo del Castillo, Teruel","Monteagudo del Castillo","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Monteagudo, Navarra","Monteagudo","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Montealegre de Campos, Valladolid","Montealegre de Campos","Valladolid","Castilla y León",NA,NA,NA,NA,"unmatched"
"Montealegre del Castillo, Albacete","Montealegre del Castillo","Albacete","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Montearagón, Toledo","Montearagón","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Montederramo, Ourense","Montederramo","Ourense","Galicia",NA,NA,NA,NA,"unmatched"
"Montefrío, Granada","Montefrío","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Montehermoso, Cáceres","Montehermoso","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Montejaque, Málaga","Montejaque","Málaga","Andalucía",NA,NA,NA,NA,"unmatched"
"Montejo de Arévalo, Segovia","Montejo de Arévalo","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Montejo de Tiermes, Soria","Montejo de Tiermes","Soria","Castilla y León",NA,NA,NA,NA,"unmatched"
"Montejo de la Sierra, Madrid","Montejo de la Sierra","Madrid","Comunidad de Madrid",NA,NA,NA,NA,"unmatched"
"Montejo de la Vega de la Serrezu, Segovia","Montejo de la Vega de la Serrezu","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Montejo, Salamanca","Montejo","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Montejícar, Granada","Montejícar","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Montellano, Sevilla","Montellano","Sevilla","Andalucía",NA,NA,NA,NA,"unmatched"
"Montellà i Martinet, Lleida","Montellà i Martinet","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"Montemayor de Pililla, Valladolid","Montemayor de Pililla","Valladolid","Castilla y León",NA,NA,NA,NA,"unmatched"
"Montemayor del Río, Salamanca","Montemayor del Río","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Montemayor, Córdoba","Montemayor","Córdoba","Andalucía",NA,NA,NA,NA,"unmatched"
"Montemolín, Badajoz","Montemolín","Badajoz","Extremadura",NA,NA,NA,NA,"unmatched"
"Montenegro de Cameros, Soria","Montenegro de Cameros","Soria","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monterde de Albarracín, Teruel","Monterde de Albarracín","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Monterde, Zaragoza","Monterde","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Monterrei, Ourense","Monterrei","Ourense","Galicia",NA,NA,NA,NA,"unmatched"
"Monterroso, Lugo","Monterroso","Lugo","Galicia","9217921","Monterroso","Monterroso,Galicia,Spain","Municipality","name+community"
"Monterrubio de Armuña, Salamanca","Monterrubio de Armuña","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monterrubio de la Demanda, Burgos","Monterrubio de la Demanda","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monterrubio de la Serena, Badajoz","Monterrubio de la Serena","Badajoz","Extremadura",NA,NA,NA,NA,"unmatched"
"Monterrubio de la Sierra, Salamanca","Monterrubio de la Sierra","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Monterrubio, Segovia","Monterrubio","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Montesa, Valencia","Montesa","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Montesclaros, Toledo","Montesclaros","Toledo","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Montesquiu, Barcelona","Montesquiu","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"Montferrer i Castellbò, Lleida","Montferrer i Castellbò","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"Montferri, Tarragona","Montferri","Tarragona","Cataluña","9211397","Montferri","Montferri,Catalonia,Spain","Municipality","name+community"
"Montgai, Lleida","Montgai","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"Montgat, Barcelona","Montgat","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"Montichelvo, Valencia","Montichelvo","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Montiel, Ciudad Real","Montiel","Ciudad Real","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Montijo, Badajoz","Montijo","Badajoz","Extremadura",NA,NA,NA,NA,"unmatched"
"Montilla, Córdoba","Montilla","Córdoba","Andalucía","9049141","Montilla","Montilla,Andalusia,Spain","City","name+community"
"Montillana, Granada","Montillana","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Montizón, Jaén","Montizón","Jaén","Andalucía",NA,NA,NA,NA,"unmatched"
"Montmajor, Barcelona","Montmajor","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"Montmaneu, Barcelona","Montmaneu","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"Montmeló, Barcelona","Montmeló","Barcelona","Cataluña","9224217","Montmelo","Montmelo,Catalonia,Spain","Municipality","name+community"
"Montoliu de Lleida, Lleida","Montoliu de Lleida","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"Montoliu de Segarra, Lleida","Montoliu de Segarra","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"Montorio, Burgos","Montorio","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Montornès de Segarra, Lleida","Montornès de Segarra","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
