"unit_name","province","google_criteria_id","google_name","google_canonical_name","google_target_type"
"Barbate, Cádiz","Cádiz","9049003","Barbate","Barbate,Andalusia,Spain","City"
"Barberà del Vallès, Barcelona","Barcelona","9236476","Municipality of Barbera del Valles","Municipality of Barbera del Valles,Catalonia,Spain","Municipality"
"Barcelona, Barcelona","Barcelona","9214622","Barcelona","Barcelona,Catalonia,Spain","Municipality"
"Basauri, Vizcaya","Vizcaya","9049004","Basauri","Basauri,Basque Country,Spain","City"
"Baza, Granada","Granada","9049005","Baza","Baza,Andalusia,Spain","City"
"Beasain, Guipúzcoa","Guipúzcoa","9049006","Beasain","Beasain,Basque Country,Spain","City"
"Becerreá, Lugo","Lugo","9213733","Becerrea","Becerrea,Galicia,Spain","Municipality"
"Begues, Barcelona","Barcelona","9226302","Begues","Begues,Catalonia,Spain","City"
"Belmonte de Miranda, Asturias","Asturias","9208820","Belmonte de Miranda","Belmonte de Miranda,Asturias,Spain","Municipality"
"Benaguasil, Valencia","Valencia","9049008","Benaguasil","Benaguasil,Valencian Community,Spain","City"
"Benalmádena, Málaga","Málaga","9208148","Municipality of Benalmadena","Municipality of Benalmadena,Andalusia,Spain","Municipality"
"Benalup-Casas Viejas, Cádiz","Cádiz","9248484","Benalup-Casas Viejas","Benalup-Casas Viejas,Andalusia,Spain","Municipality"
"Benamaurel, Granada","Granada","9213976","Benamaurel","Benamaurel,Andalusia,Spain","Municipality"
"Benavente, Zamora","Zamora","9049009","Benavente","Benavente,Castile and Leon,Spain","City"
"Benicarló, Castellón","Castellón","9049010","Benicarlo","Benicarlo,Valencian Community,Spain","City"
"Benidorm, Alicante","Alicante","1005403","Benidorm","Benidorm,Valencian Community,Spain","City"
"Beniparrell, Valencia","Valencia","1005536","Beniparrell","Beniparrell,Valencian Community,Spain","City"
"Benissa, Alicante","Alicante","9224718","Benissa","Benissa,Valencian Community,Spain","Municipality"
"Berga, Barcelona","Barcelona","1005425","Berga","Berga,Catalonia,Spain","City"
"Bergara, Guipúzcoa","Guipúzcoa","9217508","Bergara","Bergara,Basque Country,Spain","Municipality"
"Bermeo, Vizcaya","Vizcaya","1005439","Bermeo","Bermeo,Basque Country,Spain","City"
"Bernedo, Álava","Álava","9215608","Bernedo","Bernedo,Basque Country,Spain","Municipality"
"Besalú, Girona","Girona","9252414","Besalu","Besalu,Catalonia,Spain","Municipality"
"Betanzos, A Coruña","A Coruña","9221228","Betanzos","Betanzos,Galicia,Spain","Municipality"
"Bilbao, Vizcaya","Vizcaya","9221687","Bilbao","Bilbao,Basque Country,Spain","Municipality"
"Bimenes, Asturias","Asturias","9208018","Bimenes","Bimenes,Asturias,Spain","Municipality"
"Binissalem, Baleares","Baleares","9208990","Binissalem","Binissalem,Balearic Islands,Spain","Municipality"
"Binéfar, Huesca","Huesca","9226170","Binefar","Binefar,Aragon,Spain","Municipality"
"Blanes, Girona","Girona","9197355","Blanes","Blanes,Catalonia,Spain","City"
"Boadilla del Monte, Madrid","Madrid","9215230","Municipality of Boadilla del Monte","Municipality of Boadilla del Monte,Community of Madrid,Spain","Municipality"
"Boiro, A Coruña","A Coruña","9219534","Boiro","Boiro,Galicia,Spain","Municipality"
