"unit_name","gid_4","province","area_km2","cells_centroid","cells_interior","interior_frac","nearest_targetable_km","n_touching"
"Socuéllamos, Ciudad Real","ESP.4.2.1.18_1","Ciudad Real",374.186,59,42,0.7119,0,2
"Tomelloso, Ciudad Real","ESP.4.2.1.19_1","Ciudad Real",240.721,41,20,0.4878,0,1
"Valdepeñas, Ciudad Real","ESP.4.2.1.20_1","Ciudad Real",487.529,80,56,0.7,0,1
"Villarrubia de los Ojos, Ciudad Real","ESP.4.2.1.21_1","Ciudad Real",281.725,48,31,0.6458,0,3
"Almagro, Ciudad Real","ESP.4.2.2.3_1","Ciudad Real",249.83,40,15,0.375,0,4
"Bolaños de Calatrava, Ciudad Real","ESP.4.2.2.6_1","Ciudad Real",87.757,18,4,0.2222,0,2
"Ciudad Real, Ciudad Real","ESP.4.2.2.12_1","Ciudad Real",284.677,50,21,0.42,0,1
"Miguelturra, Ciudad Real","ESP.4.2.2.17_1","Ciudad Real",118.384,19,4,0.2105,0,2
"Puertollano, Ciudad Real","ESP.4.2.7.9_1","Ciudad Real",226.758,40,19,0.475,8.3041,0
"Horcajo de Santiago, Cuenca","ESP.4.3.5.18_1","Cuenca",96.031,18,6,0.3333,4.8681,0
"Tarancón, Cuenca","ESP.4.3.5.36_1","Cuenca",106.942,20,6,0.3,4.8681,0
"Casasimarro, Cuenca","ESP.4.3.6.6_1","Cuenca",49.572,8,3,0.375,9.8476,0
"Alcolea del Pinar, Guadalajara","ESP.4.4.2.5_1","Guadalajara",113.614,20,7,0.35,44.7477,0
"Azuqueca de Henares, Guadalajara","ESP.4.4.4.10_1","Guadalajara",19.679,4,1,0.25,0,3
"Guadalajara, Guadalajara","ESP.4.4.4.28_1","Guadalajara",165.116,27,7,0.2593,0,2
"Marchamalo, Guadalajara","ESP.4.4.4.38_1","Guadalajara",101.2,19,7,0.3684,0,1
"Pioz, Guadalajara","ESP.4.4.4.45_1","Guadalajara",19.251,2,0,0,0,1
"Villanueva de la Torre, Guadalajara","ESP.4.4.4.64_1","Guadalajara",11.196,2,0,0,0,3
"Consuegra, Toledo","ESP.4.5.1.6_1","Toledo",358.777,60,36,0.6,0,2
"Madridejos, Toledo","ESP.4.5.1.16_1","Toledo",261.651,45,26,0.5778,0,3
"Tembleque, Toledo","ESP.4.5.1.27_1","Toledo",222.436,39,23,0.5897,0,1
"Méntrida, Toledo","ESP.4.5.4.28_1","Toledo",82.752,15,5,0.3333,0,1
"Torrijos, Toledo","ESP.4.5.4.40_1","Toledo",17.226,2,0,0,8.676,0
"Talavera de la Reina, Toledo","ESP.4.5.5.43_1","Toledo",185.186,29,13,0.4483,27.6009,0
"Illescas, Toledo","ESP.4.5.6.20_1","Toledo",57.475,9,2,0.2222,0,1
"Mocejón, Toledo","ESP.4.5.6.25_1","Toledo",30.202,5,0,0,0,2
"Seseña, Toledo","ESP.4.5.6.35_1","Toledo",72.351,12,3,0.25,0,3
"Toledo, Toledo","ESP.4.5.6.36_1","Toledo",231.464,35,16,0.4571,0,2
"Arévalo, Ávila","ESP.5.1.1.4_1","Ávila",45.469,8,0,0,6.7966,0
"San Pascual, Ávila","ESP.5.1.1.60_1","Ávila",18.524,1,0,0,6.7966,0
"Ávila, Ávila","ESP.5.1.2.3_1","Ávila",230.233,37,14,0.3784,2.9063,0
"Sotalbo, Ávila","ESP.5.1.2.64_1","Ávila",90.438,15,0,0,2.9063,0
"Sotillo de la Adrada, Ávila","ESP.5.1.6.23_1","Ávila",43.394,9,1,0.1111,18.6264,0
"Los Altos, Burgos","ESP.5.2.3.4_1","Burgos",139.554,23,10,0.4348,7.0274,0
"Burgos, Burgos","ESP.5.2.4.8_1","Burgos",108.604,18,7,0.3889,31.0785,0
"Miranda de Ebro, Burgos","ESP.5.2.5.40_1","Burgos",98.022,16,5,0.3125,0,1
"Junta de Traslaloma, Burgos","ESP.5.2.6.6_1","Burgos",75.729,13,4,0.3077,0,2
"Medina de Pomar, Burgos","ESP.5.2.6.8_1","Burgos",214.579,38,16,0.4211,0,1
"Valle de Mena, Burgos","ESP.5.2.6.17_1","Burgos",262.922,46,21,0.4565,0,2
"Aranda de Duero, Burgos","ESP.5.2.9.3_1","Burgos",126.596,21,6,0.2857,44.8921,0
"Ponferrada, León","ESP.5.3.1.25_1","León",282.508,49,27,0.551,16.5129,0
"Cebanico, León","ESP.5.3.2.2_1","León",89.489,17,5,0.2941,20.7609,0
"León, León","ESP.5.3.2.8_1","León",39.201,7,1,0.1429,34.704,0
"Puebla de Lillo, León","ESP.5.3.3.15_1","León",171.142,30,19,0.6333,0,1
"Astorga, León","ESP.5.3.6.1_1","León",46.77,7,1,0.1429,15.7374,0
"La Bañeza, León","ESP.5.3.8.8_1","León",19.591,3,0,0,15.7374,0
"Palencia, Palencia","ESP.5.4.2.50_1","Palencia",94.869,17,6,0.3529,21.1727,0
"Salamanca, Salamanca","ESP.5.5.2.48_1","Salamanca",38.855,5,1,0.2,0,1
"Villamayor, Salamanca","ESP.5.5.2.58_1","Salamanca",16.042,4,0,0,0,1
"La Peña, Salamanca","ESP.5.5.5.25_1","Salamanca",25.408,4,0,0,47.2588,0
"Béjar, Salamanca","ESP.5.5.7.3_1","Salamanca",45.639,8,2,0.25,34.3288,0
"Ciudad Rodrigo, Salamanca","ESP.5.5.8.9_1","Salamanca",239.504,39,24,0.6154,15.8164,0
"Cuéllar, Segovia","ESP.5.6.2.18_1","Segovia",216.826,38,16,0.4211,5.9574,0
"Palazuelos de Eresma, Segovia","ESP.5.6.3.37_1","Segovia",36.566,7,0,0,0,1
"Segovia, Segovia","ESP.5.6.3.49_1","Segovia",163.256,28,11,0.3929,0,1
"Ólvega, Soria","ESP.5.7.2.41_1","Soria",98.424,16,4,0.25,0,1
"Retortillo de Soria, Soria","ESP.5.7.6.16_1","Soria",172.657,27,16,0.5926,44.7477,0
"Arroyo de la Encomienda, Valladolid","ESP.5.8.2.3_1","Valladolid",11.765,2,0,0,0,2
"Simancas, Valladolid","ESP.5.8.2.49_1","Valladolid",42.479,8,2,0.25,0,2
"Tudela de Duero, Valladolid","ESP.5.8.2.55_1","Valladolid",60.563,10,3,0.3,1.536,0
"Valladolid, Valladolid","ESP.5.8.2.56_1","Valladolid",197.297,32,9,0.2812,0,2
"Íscar, Valladolid","ESP.5.8.3.20_1","Valladolid",60.419,10,2,0.2,5.9574,0
"Medina del Campo, Valladolid","ESP.5.8.4.15_1","Valladolid",153.083,25,13,0.52,5.6792,0
"Salvador de Zapardiel, Valladolid","ESP.5.8.4.25_1","Valladolid",26.215,4,0,0,5.6792,0
"Benavente, Zamora","ESP.5.9.1.6_1","Zamora",44.969,7,0,0,28.576,0
"Zamora, Zamora","ESP.5.9.4.66_1","Zamora",148.743,27,7,0.2593,6.5228,0
"Toro, Zamora","ESP.5.9.6.32_1","Zamora",325.021,61,20,0.3279,6.5228,0
"Arenys de Mar, Barcelona","ESP.6.1.3.2_1","Barcelona",6.506,2,0,0,0,2
"Badalona, Barcelona","ESP.6.1.3.5_1","Barcelona",20.823,4,1,0.25,0,3
